14 ,26305, 9858 ,28841, 36163
40 ,18181, 4838 ,24839, 23019
31 ,358445, 32022 ,370354, 390467
46 ,70605, 1100 ,91218, 71705
18 ,10009, 1128 ,14152, 11137
49 ,342042, 7969 ,355468, 350011
27 ,11604, 983 ,14198, 12587
26 ,132918, 21200 ,142240, 154118
33 ,95300, 23895 ,98483, 119195
20 ,23126, 37574 ,25960, 60700
13 ,224858, 6165 ,261746, 231023
5 ,170242, 40307 ,196111, 210549
38 ,334590, 4476 ,419326, 339066
9 ,39297, 9178 ,57149, 48475
4 ,159965, 7879 ,207164, 167844
7 ,90020, 9729 ,116788, 99749
42 ,206372, 2017 ,237101, 208389
47 ,17745, 279 ,34861, 18024
48 ,24603, 670 ,29977, 25273
16 ,44275, 8371 ,51659, 52646
10 ,80648, 13768 ,97654, 94416
17 ,9923, 1751 ,11765, 11674
25 ,21072, 4974 ,22471, 26046
35 ,10144, 5406 ,10368, 15550
32 ,116430, 13433 ,117558, 129863
1 ,20113, 7840 ,20293, 27953
45 ,139217, 1813 ,144427, 141030
28 ,257017, 14317 ,270970, 271334
34 ,67658, 6392 ,70405, 74050
6 ,100357, 11992 ,119280, 112349
30 ,148950, 34683 ,150579, 183633
12 ,133003, 26131 ,136146, 159134
37 ,138389, 24163 ,140648, 162552
2 ,37329, 12485 ,41705, 49814
22 ,8181, 16940 ,9221, 25121
3 ,124768, 6322 ,133098, 131090
44 ,109986, 5426 ,113718, 115412
36 ,12264, 4170 ,12532, 16434
24 ,13087, 7189 ,16125, 20276
41 ,170623, 17648 ,184375, 188271
11 ,18682, 6291 ,21161, 24973
23 ,1597, 209 ,2704, 1806
19 ,59110, 12739 ,62195, 71849
50 ,1064178, 220896 ,1126348, 1285074
21 ,15122, 7950 ,16165, 23072
8 ,196042, 52076 ,199852, 248118
43 ,28480, 882 ,50616, 29362
15 ,42145, 17839 ,45558, 59984
29 ,41958, 11433 ,47985, 53391
39 ,14821, 9157 ,16652, 23978
